ID,成语,拼音,释义,例句,出处,来源说明,许可证,自动审核结果,人工审核状态
source-001,阿鼻地狱,ā bí dì yù,阿鼻梵语的译音，意译为无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。,但也有少数意志薄弱的……逐步上当，终至堕入～。★《上饶集中营·炼狱杂记》,语出《法华经·法师功德品》下至阿鼻地狱。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-002,阿姑阿翁,ā gū ā wēng,阿名词的前缀。姑丈夫的母亲。翁丈夫的父亲。指公公婆婆。,既然如此，你我两个，便学个不痴不聋的～。★《儿女英雄传》二三回,见阿家阿翁”。,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-003,阿娇金屋,ā jiāo jīn wū,阿娇指汉武帝刘彻的姑母（长公主刘娇）的女儿。原指汉武帝刘彻要用金屋接纳阿娇为妇。这里泛指美丽高贵的女子。,～原相配，太其玉镜宁无时？★明·周履靖《锦笺记·诒婚》,语出旧题汉·班固《汉武故事》汉武帝幼时曾对姑母长公主说若得阿娇(姑母之女)作妇，当以金屋贮之。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-004,阿猫阿狗,ā māo ā gǒu,旧时人们常用的小名。引申为任何轻贱的，不值得重视的人或著作。,在德国无论～见面，一律互相举手高喊希特勒万岁”。★邹韬奋《法西斯作风的罪恶》,鲁迅《我的第一个师父》这和名孩子为阿猫阿狗，完全是一样的意思容易养大。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-005,阿弥陀佛,ē mí tuó fó,佛教语，信佛的人用作口头诵颂的佛号，表示祈祷祝福或感谢神灵的意思。,和尚念经，～。,元·张国宾《合汗衫》第四折张寿友曰‘阿弥陀佛，这个是谁？’卜儿云‘这便是媳妇儿。’”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-006,阿毗地狱,ā pí dì yù,阿毗梵语的译音，意译为无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。,生前不曾修福，死堕～。★《敦煌变文集·妙法莲花经讲经文》,见阿鼻地狱”。,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-007,阿其所好,ē qí suǒ hào,阿曲从；其他的；好爱好。指为取得某人的好感而迎合他的爱好。,吾何能～为？★鲁迅《坟·摩罗诗力说》,《孟子·公孙丑上》宰我、子贡、有若，智足以知圣人，污不至阿其所好。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-008,阿谀逢迎,ē yú féng yíng,阿谀用言语恭维别人；逢迎迎合别人的心意。奉承，拍马，讨好别人。,其时京师有一流棍，名叫李光，专一～，谄事令孜。★明·凌濛初《初刻拍案惊奇》卷二十二,《二程全书·伊川易传一》周之与否在君而已，不可阿谀奉迎求其比己也。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-009,阿谀取容,ē yú qǔ róng,阿谀曲意逢迎；取容取悦于人。谄媚他人，以取得其喜悦。,且王髈等～，蔽贤窃位。★明·冯梦龙《东周列国志》,汉·杨秉《奏劾侯览》而今猥受过宠，执政操权，其阿谀取容者，则因公褎举，以报私惠。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
source-010,哀哀父母,āi āi fù mǔ,可哀呀可哀，我的父母啊！原指古时在暴政下的人民终年在外服劳役，对父母病痛、老死不能照料而悲哀。,咱人有子方知不孝娘，岂不问～情肠！★元·无名氏《小张屠》第一折,《诗经·小雅·蓼莪》蓼蓼者莪，匪莪伊蒿，哀哀父母，生我劬劳。”,crazywhalecc/idiom-database · MIT · 数据说明来自 pwxcoo/chinese-xinhua；原始文件：https://raw.githubusercontent.com/crazywhalecc/idiom-database/master/data/idiom.json,MIT（以源仓库声明为准）,四字词、拼音字段、释义字段、重复项检查通过,自动二审通过，待人工终审
