题干,选项A,选项B,选项C,选项D,正确选项,解析,难度,来源,来源说明,内容状态,校审状态,校审备注,题目ID
但也有少数意志薄弱的……逐步上当，终至堕入______。★《上饶集中营·炼狱杂记》,阿鼻地狱,爱惜羽毛,把素持斋,抱残守阙,A,释义：阿鼻梵语的译音，意译为无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。。原始资料成语：阿鼻地狱。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-001
既然如此，你我两个，便学个不痴不聋的______。★《儿女英雄传》二三回,暧昧不明,阿姑阿翁,罢黜百家,抱成一团,B,释义：阿名词的前缀。姑丈夫的母亲。翁丈夫的父亲。指公公婆婆。。原始资料成语：阿姑阿翁。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-002
______原相配，太其玉镜宁无时？★明·周履靖《锦笺记·诒婚》,暧昧之情,霸王别姬,阿娇金屋,抱打不平,C,释义：阿娇指汉武帝刘彻的姑母（长公主刘娇）的女儿。原指汉武帝刘彻要用金屋接纳阿娇为妇。这里泛指美丽高贵的女子。。原始资料成语：阿娇金屋。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-003
在德国无论______见面，一律互相举手高喊希特勒万岁”。★邹韬奋《法西斯作风的罪恶》,安不忘危,白白朱朱,抱负不凡,阿猫阿狗,D,释义：旧时人们常用的小名。引申为任何轻贱的，不值得重视的人或著作。。原始资料成语：阿猫阿狗。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-004
和尚念经，______。,阿弥陀佛,安步当车,白璧青蝇,抱关击柝,A,释义：佛教语，信佛的人用作口头诵颂的佛号，表示祈祷祝福或感谢神灵的意思。。原始资料成语：阿弥陀佛。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-005
生前不曾修福，死堕______。★《敦煌变文集·妙法莲花经讲经文》,安常处顺,阿毗地狱,白璧三献,抱恨终天,B,释义：阿毗梵语的译音，意译为无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。。原始资料成语：阿毗地狱。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-006
吾何能______为？★鲁迅《坟·摩罗诗力说》,安常守故,白璧微瑕,阿其所好,抱火厝薪,C,释义：阿曲从；其他的；好爱好。指为取得某人的好感而迎合他的爱好。。原始资料成语：阿其所好。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-007
其时京师有一流棍，名叫李光，专一______，谄事令孜。★明·凌濛初《初刻拍案惊奇》卷二十二,安常习故,白璧无瑕,抱火卧薪,阿谀逢迎,D,释义：阿谀用言语恭维别人；逢迎迎合别人的心意。奉承，拍马，讨好别人。。原始资料成语：阿谀逢迎。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-008
且王髈等______，蔽贤窃位。★明·冯梦龙《东周列国志》,阿谀取容,安车蒲轮,白发丹心,抱头鼠窜,A,释义：阿谀曲意逢迎；取容取悦于人。谄媚他人，以取得其喜悦。。原始资料成语：阿谀取容。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-009
咱人有子方知不孝娘，岂不问______情肠！★元·无名氏《小张屠》第一折,安堵如故,哀哀父母,白发千丈,豹死留皮,B,释义：可哀呀可哀，我的父母啊！原指古时在暴政下的人民终年在外服劳役，对父母病痛、老死不能照料而悲哀。。原始资料成语：哀哀父母。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-010
那安太太进门，一眼便看见姑娘，______的跪在那里……便一直的奔了姑娘去。★清·文康《儿女英雄传》第二十回,安分守己,白圭之玷,哀哀欲绝,鲍鱼之肆,C,释义：哀哀极度悲哀；绝断气，死。形容极其悲痛。。原始资料成语：哀哀欲绝。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-011
不，______！不要乐，要哀，何小姐能弹《易水吟》的谱子吗？★张恨水《啼笑因缘续集》第十回,安富恤贫,白虹贯日,暴风骤雨,哀兵必胜,D,释义：原意是力量相当的两军对阵，悲愤的一方获得胜利◇指因受欺侮而奋起抵抗的军队，必定能取胜。。原始资料成语：哀兵必胜。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-012
她喜欢打扮，愿意有朋友，可是这都不过是一些小小的、______的、青春的游戏。★老舍《四世同堂》四十三,哀而不伤,安富恤穷,白驹过隙,暴虎冯河,A,释义：哀悲哀；伤伤害。忧愁而不悲伤，形容感情有节制；另形容诗歌、音乐优美雅致，感情适度。比喻做事没有过头也无不及。。原始资料成语：哀而不伤。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-013
这封信却是骈四骈六的，足有三千多字，写得异常的______。★清·吴趼人《二十年目睹之怪现状》第七十一回,安富尊荣,哀感顽艳,白龙鱼服,暴戾恣睢,B,释义：顽愚顽。原意是指内容凄切，文辞华丽，使愚笨和聪慧的人同样受感动◇多用来指艳情的小说、戏曲、电影中的感人情节。。原始资料成语：哀感顽艳。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-014
天涯吟望，______，都成愁侣。★黄侃《水龙吟·秋花》词,安居乐业,白面书生,哀鸿遍地,暴腮龙门,C,释义：哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。。原始资料成语：哀鸿遍地。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-015
我记得历史上的罗马何等殷阗繁盛，怎么今日却是______，春燕无归，满眼凄惶。★清·梁启超《新罗马》,安老怀少,白日飞升,暴殄天物,哀鸿遍野,D,释义：哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。。原始资料成语：哀鸿遍野。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-016
