题干,选项A,选项B,选项C,选项D,正确选项,解析,难度,来源,来源说明,内容状态,校审状态,校审备注
面对复杂问题，不能只看表面现象，更要______，才能找到真正的解决路径。,追本溯源,走马观花,人云亦云,浅尝辄止,A,追本溯源指追究事物产生的根源，符合从表象深入根本的语境。,基础,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
面对新情况，工作方法也要______，不能固守过去的经验。,因地制宜,墨守成规,按图索骥,削足适履,A,因地制宜强调根据具体情况采取适宜办法，和调整工作方法相呼应。,基础,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
有些政策看似声势浩大，但如果缺少长期执行，最终容易______。,功亏一篑,水到渠成,顺理成章,相得益彰,A,功亏一篑比喻事情只差最后一点没有完成，符合执行中断的语境。,进阶,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
基层治理不能______，必须真正了解群众的需求和困难。,闭门造车,集思广益,未雨绸缪,择善而从,A,闭门造车比喻脱离实际，和了解群众需求形成对照。,基础,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
面对成绩，团队没有沾沾自喜，而是继续______，查找新的增长空间。,精益求精,故步自封,讳疾忌医,急功近利,A,精益求精表示已经很好仍要求更加完美，符合持续改进。,基础,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
改革不能______，要充分评估不同地区的实际承受能力。,一刀切,顺水推舟,高屋建瓴,见微知著,A,一刀切比喻用同一种方式处理不同问题，忽视实际差异。,基础,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
只有把制度优势转化为治理效能，才能真正做到______。,落地生根,隔岸观火,南辕北辙,缘木求鱼,A,落地生根比喻事物在某地生根发展，强调制度要求得到落实。,进阶,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
阅读材料时，既要把握整体结构，也要______，关注关键细节。,见微知著,好高骛远,不求甚解,顾此失彼,A,见微知著强调从细节迹象判断发展趋势，符合材料阅读要求。,基础,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
公共服务的优化需要持续反馈，不能因为一次调整有效就______。,高枕无忧,未雨绸缪,防微杜渐,居安思危,A,高枕无忧比喻没有忧虑，和持续反馈、持续改进的要求相反。,基础,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
面对舆论热点，媒体应当核实事实，避免______地跟随情绪。,盲目跟风,按部就班,锲而不舍,有条不紊,A,盲目跟风表示没有判断地跟随他人或潮流，和核实事实相反。,基础,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
解决发展中的问题，要敢于正视矛盾，不能______。,讳疾忌医,披荆斩棘,推陈出新,革故鼎新,A,讳疾忌医比喻掩饰缺点错误、不愿改正，符合语境。,基础,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
公共决策既要听取多方意见，也要在充分论证后______。,择善而从,固步自封,随波逐流,隔岸观火,A,择善而从表示采纳正确意见并付诸实行，符合审慎决策。,进阶,原创训练题,原创训练题；依据词典释义编写语境，非官方真题,curated,待校审,请确认唯一正确选项、语境搭配、解析和来源说明；确认后再通过后台导入。
