ID,成语,拼音,释义,例句,分类,来源,来源说明,校审状态,校审备注
idiom-001,追本溯源,zhuī běn sù yuán,追究事物产生的根源。,面对问题要追本溯源，才能找到长效解决办法。,思维方法,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-002,因地制宜,yīn dì zhì yí,根据不同地区的具体情况制定适宜的办法。,各地应当因地制宜发展特色产业。,治理与发展,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-003,精益求精,jīng yì qiú jīng,已经很好了还要求更加完美。,公共服务要在细节上精益求精。,表达积累,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-004,未雨绸缪,wèi yǔ chóu móu,趁着天没下雨，先修缮房屋门窗；比喻事先做好准备。,做好风险预案是未雨绸缪。,治理与发展,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-005,见微知著,jiàn wēi zhī zhù,见到一点苗头就能知道其发展的趋向。,从消费变化可以见微知著。,思维方法,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-006,落地生根,luò dì shēng gēn,比喻事物在某地生根发展或取得稳固地位。,好政策要落地生根才有真实效果。,治理与发展,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-007,集思广益,jí sī guǎng yì,集中群众的智慧，广泛吸收有益的意见。,民主决策需要集思广益。,治理与发展,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-008,水到渠成,shuǐ dào qú chéng,比喻条件成熟，事情自然成功。,基础打牢后，转型升级便会水到渠成。,表达积累,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-009,居安思危,jū ān sī wēi,处在安定环境中也要想到可能出现的危险。,越是发展顺利，越要居安思危。,思维方法,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-010,有条不紊,yǒu tiáo bù wěn,形容做事、说话有条理，丝毫不乱。,工作人员有条不紊地疏导人群。,表达积累,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-011,推陈出新,tuī chén chū xīn,去掉旧的，创造出新的。,文化传承需要推陈出新。,思维方法,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-012,革故鼎新,gé gù dǐng xīn,破除旧的，建立新的。,制度建设要坚持革故鼎新。,思维方法,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-013,披荆斩棘,pī jīng zhǎn jí,比喻在前进道路上清除障碍，克服困难。,改革发展需要披荆斩棘的勇气。,表达积累,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-014,防微杜渐,fáng wēi dù jiàn,在错误或坏事刚露头时就及时制止。,基层监督要做到防微杜渐。,治理与发展,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-015,高屋建瓴,gāo wū jiàn líng,形容居高临下的形势或不可阻挡的气势。,这项规划体现了高屋建瓴的战略眼光。,表达积累,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-016,相得益彰,xiāng dé yì zhāng,两者互相配合，使双方的作用和优点更加明显。,科技与教育相得益彰。,表达积累,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-017,顺理成章,shùn lǐ chéng zhāng,指事情合乎情理，自然产生结果。,建立评价机制是顺理成章的选择。,表达积累,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-018,锲而不舍,qiè ér bù shě,不断地镂刻，比喻有恒心，有毅力。,解决难题需要锲而不舍。,思维方法,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-019,按部就班,àn bù jiù bān,按照一定的条理，遵循一定的程序。,项目建设应当按部就班推进。,治理与发展,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
idiom-020,择善而从,zé shàn ér cóng,采纳正确的意见或选择好的方法加以实行。,面对不同建议要择善而从。,思维方法,《现代汉语词典》（第7版）,《现代汉语词典》（第7版）常用词条，发布前人工校审,待校审,请核对词形、拼音、释义和例句后再发布。
